Gene,Exp
MRPS21,10.666652
DP58,3.431485
LOC284323,2.081774
2012/03/03,6.563476
SF3A1,4.086483
CAPG,4.388033
TAF1A,4.569415
GSC,2.087218
HRASLS,6.125287
CHST11,1.318441
ATP2A2,9.007096
LOC644792,2.293894
LOC649019,2.336863
MYL1,1.354813
ROR1,8.087968
FBXW7,3.412213
NUCB2,6.131973
MMP11,5.487008
GTF2E1,7.788203
TRNT1,7.275015
RPE,1.638707
ADCY7,3.527106
ZHX1,3.112099
LRRIQ1,1.828279
NAG8,4.467515
PDE6B,3.886806
CDC14A,1.707468
GALNT10,2.488894
STAB1,2.130914
CDK5RAP2,7.610966
RGS1,1.856581
DHX9,8.399986
NRF1,3.187707
NTN2L,1.699935
KIAA0319L,6.61935
BRUNOL6,2.313256
KRTAP19-4,1.859692
PLAU,7.223261
TNPO2,9.290716
C17ORF55,2.188568
KCNQ1,5.389827
C1ORF110,2.273782
SLCO1A2,3.132689
MYLIP,7.932958
ZBTB7A,2.221017
SLC39A10,8.790265
PNLDC1,1.86239
CNOT7,8.664702
STAU,8.687919
MAPKAPK2,2.51279
GOT1,8.660905
ATP10D,2.479467
USP9X,9.40646
ADAMTS19,7.228168
FLJ20186,6.469752
SLC41A1,6.264721
ZNF704,2.303722
MGC33407,2.09201
TSPAN10,2.328935
E2F6,7.203525
KATNAL2,4.524919
OR2T27,1.985679
DUPD1,1.767432
ASAM,5.843397
PRPF38A,6.564976
METTL7A,3.615559
SPOCK2,4.412638
TSKS,1.473425
GOSR2,6.295758
C21ORF57,7.491183
GFRA2,5.211895
INDO,6.931317
DMD,3.975242
ZMYM3,7.252259
LTBP1,2.539929
GLT1D1,2.579635
CCKAR,2.359592
RIT1,6.247901
PTPRS,2.191478
LOC201175,2.818111
ASB12,1.802641
ALDH4A1,7.227738
C8ORF4,4.598621
TRPA1,1.867026
PES1,4.802034
BNC2,7.57782
C9ORF157,1.61007
SEC24D,6.534755
MYOT,2.328588
TCEAL8,8.567507
SALF,3.505405
TRPC6,4.694716
ZMPSTE24,9.479967
CDKN2C,2.525642
RAB11FIP1,1.773615
GPR87,1.507175
IHPK1,3.603736
RBMS1,1.787744
FLJ13909,8.320254
LOC653709,5.792043
OSBPL2,6.117576
FGA,7.662116
EPC2,3.349691
DUSP5,7.144542
ZNF304,4.820947
