BTG1,CNOT8,PPI
BTG1,JUN,PPI
RPL15,RPS26,PPI
RPL15,RPL9,PPI
RPL15,EIF3F,PPI
RPL15,RPS29,PPI
RPL15,TRIM24,PPI
RPL15,RPL30,PPI
RPL15,RPL7,PPI
RPL15,RPLP1,PPI
RPL15,EEF2,PPI
RPL15,RPS3A,PPI
RPL15,RPS18,PPI
RPL15,RPL36A,PPI
RPL15,RPL15,PPI
FGF20,FGF20,PPI
FGFR1,FRS2,PPI
FGFR1,FGFR1,PPI
FGFR1,FGF20,PPI
CLP1,CLP1,PPI
CLP1,HNRNPUL1,PPI
HNRNPA2B1,HNRNPK,PPI
HNRNPA2B1,PCBP1,PPI
HNRNPA2B1,FUS,PPI
HNRNPA2B1,NCBP1,PPI
HNRNPA2B1,SF3B5,PPI
HNRNPA2B1,HNRNPUL1,PPI
HNRNPA2B1,DHX38,PPI
HNRNPA2B1,PHF5A,PPI
HNRNPA2B1,TTF2,PPI
HNRNPA2B1,HNRNPC,PPI
HNRNPA2B1,HNRNPA2B1,PPI
HNRNPA2B1,HNRNPA1,PPI
HNRNPA2B1,SNRPA,PPI
HNRNPA2B1,SNRPD3,PPI
HNRNPA2B1,HNRNPL,PPI
HNRNPA2B1,CLP1,PPI
FOXO1,HNF4A,PPI
FOXO1,PAK1,PPI
FOXO1,SMAD3,PPI
FOXO1,SMAD4,PPI
FOXO1,ESR1,PPI
HNRNPA1,HNRNPA1,PPI
HNRNPA1,FUS,PPI
HNRNPA1,PCBP1,PPI
HNRNPA1,DHX38,PPI
HNRNPA1,SNRPD3,PPI
HNRNPA1,PHF5A,PPI
HNRNPA1,HNRNPL,PPI
HNRNPA1,SF3B5,PPI
HNRNPA1,NCBP1,PPI
HNRNPA1,SNRPA,PPI
HNRNPA1,HNRNPUL1,PPI
HNRNPA1,CLP1,PPI
HNRNPA1,TTF2,PPI
NCOA1,NCOA1,PPI
NCOA1,RARG,PPI
NCOA1,DDX17,PPI
TBP,PAX6,PPI
TBP,JUN,PPI
TBP,TBP,PPI
TBP,SNAPC1,PPI
TBP,SNURF,PPI
TBP,TAF12,PPI
TBP,SP1,PPI
TBP,NCOA1,PPI
RPS18,EIF3F,PPI
RPS18,RPS29,PPI
RPS18,TRIM24,PPI
RPS18,RPLP1,PPI
RPS18,RPL9,PPI
RPS18,RPS18,PPI
RPS18,RPS26,PPI
GSPT2,RPL36A,PPI
GSPT2,RPL30,PPI
GSPT2,EEF2,PPI
GSPT2,RPS29,PPI
GSPT2,TRIM24,PPI
GSPT2,RPL9,PPI
GSPT2,GSPT2,PPI
GSPT2,RPS26,PPI
GSPT2,RPL7,PPI
GSPT2,RPS3A,PPI
GSPT2,RPLP1,PPI
GSPT2,RPL15,PPI
GSPT2,RPS18,PPI
G3BP1,G3BP1,PPI
RASA1,SLC9A2,PPI
RASA1,RASA1,PPI
RASA1,KDR,PPI
RASA1,SOCS3,PPI
RASA1,G3BP1,PPI
PPP2R3A,PPP2R3A,PPI
PPP2R3A,PPP2R1A,PPI
CSNK1E,TP53,PPI
CSNK1E,SOCS3,PPI
CSNK1E,RAD54B,PPI
CSNK1E,CSNK1E,PPI
CSNK1E,PER2,PPI
ACE2,HMOX1,TFregulation
PRDB2,HMOX1,TFregulation
INSM1,INSM1,TFregulation
GFI1,SERPINA1,TFregulation
HIVEP2,RFX1,PPI
HIVEP2,SERPINA1,TFregulation
HNF1B,HNF1A,PPI
HNF1B,SERPINA1,TFregulation
hsa-let-7f,APEX1,miRregulation
hsa-let-7c,APEX1,miRregulation
hsa-let-7b,APEX1,miRregulation
hsa-let-7e,APEX1,miRregulation
hsa-let-7d,APEX1,miRregulation
GTF3A,GTF3A,PPI
GTF3A,TBP,PPI
GTF3A,POLR3E,PPI
GTF3A,TARBP2,TFregulation
MYB,RQCD1,PPI
MYB,TTF2,PPI
MYB,CDC2,TFregulation
E2F4,SMAD3,PPI
E2F4,CDC2,TFregulation
GLI2,TBP,PPI
GLI2,ZIC2,PPI
GLI2,ZIC1,PPI
GLI2,PTCH1,TFregulation
NEDD9,NEDD9,PPI
hsa-miR-223,NFIA,miRregulation
CASP9,VIM,PPI
CASP9,CASP10,PPI
CASP9,CASP9,PPI
hsa-miR-133a,CASP9,miRregulation
HNF4A,PROX1,PPI
HNF4A,NCOA1,PPI
HNF4A,HNF4A,PPI
HNF4A,TRIM24,PPI
HNF4A,HMOX1,TFregulation
HNF4A,SERPINA1,TFregulation
FOXA2,GSC,PPI
FOXA2,NCOA1,PPI
ONECUT1,FOXA2,PPI
ONECUT1,FOXA2,TFregulation
ONECUT1,PDX1,TFregulation
SERPINA1,SERPINA1,PPI
HNF1A,HNF1A,PPI
HNF1A,HNF4A,PPI
