Gene,H1hESC_rep1,H1hESC_rep2,H9hESC_rep1,H9hESC_rep2,hNSC_rep1,hNSC_rep2
SCAMP1,5.722622,5.238317,5.942797,5.827361,3.70145,4.298873
PTHR2,3.156461,2.425726,2.942227,2.28537,3.781476,2.694909
PDZK3,4.497236,4.675803,3.871643,3.755621,2.416364,3.15713
SYNE1,1.519102,1.5602,1.120133,1.929649,1.805803,1.768022
COL5A2,8.206596,7.975314,7.737264,7.433038,7.11051,7.110161
PPP2R4,8.653085,8.766067,9.112989,9.220406,8.714128,8.734109
FLJ10099,7.330273,7.408678,7.280302,7.514479,6.671147,6.560481
PRR6,9.871518,9.903737,9.9845,10.043495,10.084759,10.165158
EBAG9,3.959982,4.163148,4.233493,4.825035,1.421865,2.565941
NOTCH1,7.178155,7.434393,6.784204,7.188426,10.203849,10.208542
TCEAL6,2.474977,1.94055,2.356249,2.08211,1.891527,2.375229
EFTUD1,6.7346,6.766247,6.898753,6.921248,6.673985,6.695442
GPA33,2.294619,1.695618,2.336639,3.12235,3.052888,2.92466
FBXO3,6.522123,6.576517,6.776189,6.784204,6.780786,6.747465
SPATA5L1,7.170712,7.075229,7.441504,7.058815,7.304819,7.515378
GATM,6.313486,6.285945,6.120709,6.434715,7.884999,7.9584
HAMP,1.503069,1.752809,1.900295,1.519407,1.556167,1.864751
CYP2C19,2.147773,2.095232,1.787557,2.334589,3.182152,1.368317
PDILT,1.950358,1.788913,2.129986,1.679741,1.431828,1.705431
NGFRAP1,9.452499,9.344519,9.415368,9.432778,10.131706,9.89041
GRM8,3.830783,3.516299,4.35132,4.316713,6.563858,6.572935
CRYAB,5.019295,5.044444,6.430367,6.647085,6.789725,7.02259
C3ORF40,6.30753,6.345528,6.894343,6.979094,7.964658,7.876458
SORCS2,3.01417,2.13367,1.408678,2.002961,5.781802,5.65741
TPP1,7.483486,7.467031,7.513795,7.511019,8.726255,8.919525
CYB5R1,5.730092,5.930463,5.58693,5.563355,7.11342,7.104184
MYH4,2.249433,1.515068,2.509515,2.364743,1.253195,2.563787
DIP2A,2.261965,1.39382,1.472336,2.17185,1.998616,1.895332
SPHK2,9.526846,9.568027,9.135259,8.967482,9.49825,9.539666
NMUR1,1.982041,2.432044,2.020953,2.510138,1.632397,1.638309
C1QTNF6,3.388701,2.610345,3.587947,3.603736,6.102451,6.040787
RNF130,7.897165,8.195621,8.385737,8.208026,7.55247,7.616833
PRG2,2.175608,1.936529,2.149968,1.764656,1.572626,2.214086
USP7,7.420871,7.316874,7.54397,7.411912,7.073491,6.993774
LAT1-3TM,3.581773,3.167749,1.539436,2.184401,2.69774,2.721191
FZD8,5.804129,5.621587,6.371227,6.430033,5.843103,5.995885
ETFB,8.854246,8.726255,9.016325,9.125509,8.332714,8.226095
DLC1,1.898358,2.109684,1.999802,2.965637,2.014847,2.049553
GNE,6.0044,5.802896,6.580131,6.361942,7.1069,7.188853
FBXO18,7.51655,7.551705,7.364558,7.144943,7.945113,8.161166
LIPH,2.58744,2.510764,2.014575,1.620817,1.887842,2.023224
MGC16824,5.254659,5.419821,6.023884,5.446372,5.793933,5.431862
TSPAN9,8.596897,8.760176,8.708904,8.724385,8.676659,8.764053
EML1,8.134101,8.128798,7.975314,7.718582,6.47853,6.57792
PROL1,1.866881,1.815591,1.829381,2.267076,1.949596,1.916465
KLK15,1.726237,2.45441,1.467176,2.280034,2.163795,2.737985
GMPR,2.115696,3.826947,2.680068,2.487911,2.618764,2.450508
TRIM41,6.940653,7.031242,6.758988,6.445501,7.35606,7.187858
TMEFF1,5.721664,5.796785,6.211658,6.24565,4.134092,3.614985
C1ORF43,8.091952,8.173767,8.379773,8.513482,8.226779,8.078093
CMTM4,3.684864,3.939203,3.075225,3.589388,3.565381,2.929069
BAI1,2.655199,2.807847,1.901495,2.54987,6.290678,6.252429
APOA1BP,8.413124,8.555356,8.781533,8.875565,9.016325,9.023707
WBSCR23,1.618026,1.919528,1.759127,2.313125,1.353093,1.175037
FLJ41131,6.484719,6.403143,7.023605,7.070939,5.873309,5.618479
UGDH,8.511149,8.458868,8.387299,8.293964,7.300108,7.14892
NUDT9,2.582655,3.662391,3.366286,2.88019,3.108131,3.488472
C14ORF151,6.263538,6.196106,5.762843,5.866792,5.851675,5.760053
REEP4,4.989953,5.610514,5.043286,4.876023,5.215603,4.836204
OLFM3,1.805697,2.370254,2.039832,2.018898,2.064332,1.515689
CLDN20,2.265906,2.237985,2.320517,3.20103,2.678885,2.259587
RBM35B,2.077444,2.038754,2.111103,1.896333,2.830031,3.167208
BBC3,2.028464,2.272191,2.77248,2.531265,3.02219,2.45441
PEX7,6.763475,6.429449,7.089851,6.945924,5.690149,5.613832
NFATC1,1.977127,2.445786,2.208368,2.126777,2.283823,1.767832
OLFM1,2.149305,2.249735,2.298144,1.816918,1.298864,1.484824
PPIL2,2.178342,3.946723,2.579204,3.244555,2.513199,2.866224
SLC16A6,2.318492,2.801063,1.990749,1.626603,1.604704,2.689039
RAB23,2.62722,1.442312,1.75334,1.607058,2.117895,1.964659
PEF1,6.8669,6.992579,6.714948,7.12403,7.873233,7.709049
HERC5,8.964745,8.888935,9.067663,8.976911,2.99419,2.080137
TARBP2,7.009783,6.96733,7.089395,7.010735,6.555826,6.624881
OPA1,7.352458,7.411001,7.828436,7.716116,6.728461,6.881534
AGER,2.179769,1.600287,1.802002,2.415827,1.956155,2.816369
SGK3,1.629902,1.888682,1.677192,1.791435,2.661144,2.096869
S100A8,2.03654,2.299311,1.658081,1.482178,2.133846,1.651822
VDAC3,10.672422,10.423504,10.763115,10.741547,10.76778,10.853943
KIAA1530,2.422762,3.46516,2.204472,1.859892,2.468575,2.522761
AANAT,1.798116,2.286701,1.785221,2.061203,1.73063,1.765336
C11ORF42,2.263468,1.872839,1.728619,2.691109,1.908995,1.339055
APIN,2.104976,2.69089,2.609388,2.619523,2.135216,2.280561
CHRNA4,1.954745,1.783496,2.527296,1.910477,2.716189,2.066577
LOC283377,5.96384,5.769431,5.716108,5.982455,5.18097,5.415106
OR7C1,1.866663,1.949975,1.707468,1.43251,1.451525,2.514512
ABCA7,2.069626,2.232686,1.601826,1.362425,1.548339,1.612257
GAL3ST1,5.750827,5.693032,5.978626,5.90021,3.881699,4.324601
PILRA,2.009982,2.048901,2.401646,2.182312,1.972556,1.599946
GPR78,2.371533,1.853271,1.602373,1.940077,3.018481,2.675871
LOC653685,1.428051,2.350664,2.052717,1.904535,1.809691,2.582357
KCNH5,2.224749,1.244516,1.790412,2.00864,1.972315,1.839968
LOC347487,1.51493,1.563935,1.945452,2.268848,1.852008,1.631962
ZC3HAV1,3.64689,3.538929,3.500123,3.182881,2.64751,3.078825
C13ORF8,8.907765,8.616481,8.869357,8.882871,9.413748,9.359724
TRIAD3,7.007432,6.675143,7.326091,7.149449,7.897165,7.831399
SRC,7.775043,7.833574,7.253447,7.180466,7.254162,7.291439
ACSBG2,1.73647,2.243633,2.155047,1.85933,2.12593,1.473223
BRD1,5.580749,5.6016,5.634122,5.644694,6.34229,6.412934
ACSL6,1.771117,1.524929,1.675199,2.102932,2.730985,1.914264
MGC11332,3.5308,2.604813,3.753543,3.371492,2.757439,2.195114
BOK,6.082333,5.961152,6.736301,6.721866,6.580131,6.82
IGSF21,4.326496,4.533675,5.708541,5.990939,1.551017,2.59957
LOC650000,1.269911,1.942451,1.694632,1.032272,1.381606,1.976762
C7ORF26,7.534672,7.684512,7.667112,7.325619,8.045226,7.917282
GSTT1,7.328072,7.562045,7.732509,8.312722,8.19174,8.280896
RPUSD2,8.872741,8.72993,8.61377,8.493037,7.9132,7.982337
RPUSD4,9.305121,9.354539,9.389364,9.401402,8.097818,8.124164
COMT,6.291015,6.463953,8.190664,8.09993,10.011117,10.075826
GSPT2,8.768613,8.781533,9.137717,9.257068,8.849042,8.82425
TMC5,3.097565,3.168791,2.904975,2.018978,2.197681,2.070793
ZNF644,7.479433,7.52444,7.935068,7.562045,6.603174,6.575934
ZNF19,2.069548,1.825583,2.153103,2.111569,2.678463,2.331022
ITGAX,1.880457,1.65707,1.365644,1.961218,1.379698,1.846188
ZNF406,2.763811,2.123633,1.872542,2.023082,2.179237,3.015917
DTNA,7.449469,7.331898,7.235816,7.285251,9.381982,9.413748
MAGEF1,6.427575,6.538655,6.140017,6.505648,6.546503,6.63723
OR5A1,2.108979,1.942338,1.123467,1.875565,1.456572,2.095819
SYNPO2,1.526461,2.816011,1.907183,2.074642,2.656503,1.686008
RNF39,2.45441,2.68306,3.078095,4.033292,1.464383,2.162854
CGNL1,9.519603,9.358735,9.606716,9.577521,5.51529,5.647713
GNG13,2.57637,1.488408,1.646256,2.042166,1.370013,2.343338
LOC221143,5.786548,5.136568,5.600622,5.6016,6.231705,6.384923
ATP1B1,8.195621,8.208026,7.90304,8.168549,8.122816,8.189067
C18ORF37,7.75587,7.702548,7.629081,7.797281,7.266273,7.295359
SIGLEC8,2.141993,1.969253,2.901074,1.729101,2.009258,2.542415
ALG10,3.991025,3.495112,3.98217,3.317937,2.621092,3.929832
THRAP5,7.596775,7.465533,7.68607,7.773975,8.015734,7.962506
FLAD1,4.949104,4.433784,3.3167,3.486877,3.927276,3.654838
MED17,3.294435,4.249331,3.071658,3.833546,5.191991,5.419132
CASP7,1.439863,1.63254,1.883971,2.043455,1.822743,1.815757
MGC12981,6.958313,7.094574,7.191793,7.325351,7.371416,7.503129
FLJ35767,2.818739,3.047774,5.13305,5.377996,2.264305,2.624156
FGFR4,5.855848,5.758751,5.463277,5.54444,2.192311,2.588881
STAU,3.563097,3.361696,3.580652,2.946232,2.905984,3.450372
MRPS18A,6.394373,6.599023,6.497063,6.565944,8.250749,8.272681
CYCS,6.547465,6.453361,5.531642,5.439336,7.011843,6.961448
IGSF8,3.287099,4.498374,4.636529,4.423745,4.909927,3.623922
CD2AP,6.636506,6.451375,6.330325,6.774252,3.431485,2.884342
OR52K2,1.98304,1.70203,2.543113,2.446794,1.73557,1.480119
LOC644407,1.947782,2.392999,1.768523,2.431107,1.808061,1.708998
FOLR3,2.141878,1.889554,2.174906,1.994941,2.046317,3.166481
TAS2R43,1.812119,2.294739,2.63384,2.216311,2.642038,3.622092
FMNL2,5.734333,5.933629,6.343662,6.128291,6.53812,6.490157
PROP1,2.37952,2.388328,2.812138,1.915339,2.194265,1.51493
TRIM39,1.987973,3.452795,2.666788,2.034686,1.883626,1.876415
AGPAT4,6.784562,7.041845,6.904184,6.520233,7.656661,7.79215
AD031,2.166649,2.648295,3.451563,2.454925,1.585126,1.950472
MGC15416,7.069186,7.307932,7.313227,7.085998,6.336193,6.168882
CAB39L,2.235377,3.750467,3.658697,2.763811,3.707981,2.62722
NPHP3,5.640226,6.0219,5.624826,5.72809,6.361942,6.131545
GNAO1,3.256279,2.592843,3.641437,3.378903,6.562108,6.5631
OTUD6A,1.853271,1.601353,2.559701,2.069744,2.14596,1.457728
ZDHHC7,8.438152,8.511149,8.424962,8.394151,8.15367,8.130394
HNRPDL,6.859209,6.854582,6.989391,7.181235,6.989391,7.032628
MGC39662,1.968964,1.575643,1.858614,1.708998,1.539543,2.476695
RTN4,11.390039,11.428933,10.980303,11.147542,11.624811,11.755726
ARRB1,2.810983,3.075096,3.305001,3.412581,5.052496,5.110971
EVL,9.708145,9.741799,10.001668,9.999872,10.438847,10.358291
AHSG,4.038446,4.253574,4.003428,2.039425,2.375837,1.712878
RNASE2,1.728104,1.457947,2.372446,2.720323,1.387929,1.466233
CXORF56,5.64426,5.877734,5.453669,5.738401,4.375822,3.534595
FLJ21945,7.592419,7.750792,7.761649,7.817163,7.615675,7.588045
SLC22A15,3.6235,4.055838,3.923055,4.162709,1.635329,1.849257
TMEFF2,4.55808,3.505405,3.880285,2.939527,4.626887,4.542503
YTHDF2,9.318312,9.26569,9.371684,9.15827,8.484083,8.415384
GALIG,2.133402,2.12593,1.672887,1.645722,4.199215,4.07995
FSTL3,5.056762,4.98564,5.164184,5.40557,4.909166,4.711893
MRPL16,7.094574,7.089851,7.23191,7.05335,5.88345,5.498875
ZNF167,2.9528,2.452424,2.280154,2.440787,1.786082,2.706078
ODF2,6.219374,5.854572,5.432702,5.492609,7.651058,7.567767
BSG,2.108026,1.706237,1.750585,1.385237,2.544249,2.311811
ADORA3,5.637177,5.703956,6.151297,6.060372,5.273961,5.406108
OR2B2,2.142217,3.091293,2.597086,1.760323,2.558087,1.638814
C1ORF75,1.770025,2.282475,1.973745,2.06936,2.946337,3.693715
SPFH1,5.119935,5.049675,5.021179,4.939489,4.955385,4.833737
UNQ501,9.241586,9.439029,9.166686,9.30325,8.99637,9.149666
VSIG8,2.226819,1.502242,2.073476,1.577705,2.592042,1.648057
LOC493860,1.600104,1.764439,1.277144,1.774242,1.660538,1.486341
DUSP22,4.96242,4.7787,5.154586,4.97056,3.772202,4.425395
KRT19,10.088454,10.025687,9.034127,9.111406,1.901153,1.560445
SERTAD4,5.420175,5.359986,4.758384,4.334247,2.352596,1.829218
RUNX1,2.067154,1.99975,1.815757,2.348976,2.079772,1.955379
PHF12,6.312988,6.469752,6.350208,6.184687,7.079531,7.257196
SLC29A2,6.738599,7.089395,6.713656,6.469362,4.078595,4.023023
GPR162,6.811189,6.783632,6.738283,7.012331,9.313447,9.284098
ING1,2.067684,1.921386,2.97601,1.818818,1.534674,2.4629
C19ORF30,2.674744,2.906827,2.071375,2.83556,3.187296,3.787069
ZNF512,7.964658,7.988102,7.953661,7.907256,8.583627,8.636107
LOC257358,1.717117,1.922736,2.00542,2.002649,2.260112,2.035709
PTPRC,2.059468,1.914199,2.057677,1.817296,1.892291,1.501098
KRT18,5.423555,5.616673,6.289394,6.438442,1.915547,1.20959
PDE6C,1.804563,1.99524,1.913353,2.79095,1.898849,1.528823
AZU1,2.312351,2.135736,2.127123,2.018468,1.750792,1.441169
PGEA1,8.000651,7.880215,7.521598,7.889388,8.314654,8.460985
ZNF680,5.932278,6.181183,6.045158,5.920782,5.912291,5.752398
DOC1,4.129917,4.078957,4.548715,4.412638,4.84113,4.879366
KMO,1.75613,2.25267,1.676086,1.763908,1.925029,1.885671
KIAA0652,2.876392,2.425806,2.689542,2.351951,3.784906,3.968175
RUFY3,3.926279,3.852529,3.727692,4.025796,10.579378,10.643923
SLC39A13,4.115396,4.151346,4.384155,4.16023,4.103504,3.919264
KLHDC3,9.669383,9.665351,9.813233,9.963274,9.853168,9.634103
C19ORF4,4.895156,5.325559,4.74831,5.012213,7.707635,7.680957
MGC34761,1.976305,2.266476,2.337365,2.643545,2.417986,3.606705
SLC44A4,3.489739,2.916411,3.624721,3.736944,1.652225,2.067958
OR4C13,1.342677,1.551465,1.491087,1.652717,1.407859,1.730202
MALT1,5.791177,6.102451,6.048326,6.009953,5.523043,5.516089
KIAA1914,5.802585,5.886059,5.554156,5.562169,2.448768,2.68873
CSMD3,1.616664,1.372386,1.88923,2.434961,1.499785,2.10096
TPR,8.191188,8.240666,8.22433,8.068824,8.683213,8.705787
HEMK1,2.795842,2.528535,2.796145,2.117119,3.310323,3.991758
REPIN1,3.198608,3.205125,2.889787,2.721399,3.986913,3.986011
DYX1C1,2.177583,2.448186,2.183823,2.845071,1.86239,2.263468
TRA2A,8.057642,7.93045,7.6837,7.91148,7.539165,7.493325
KCTD14,7.716116,7.680583,7.52444,7.694399,6.626232,6.767392
TLR1,1.475832,2.854258,1.997773,2.564413,1.472525,1.73569
MGAT5,3.832246,3.471392,4.152378,3.352392,4.334612,4.320495
NPY,5.26286,4.943167,2.492984,2.501811,6.897129,6.957723
LOC653490,3.61442,3.66981,2.655548,3.061994,2.764647,2.455702
CABC1,7.849078,7.769883,7.529048,7.48905,4.900467,4.842037
CAPN9,3.216823,2.589107,2.4629,2.233829,1.317686,2.354136
ISL2,1.910932,2.436152,2.109421,3.233079,3.478471,3.067941
FLJ22471,4.885313,5.29138,3.38269,3.914293,7.968274,8.119628
DERL3,1.570309,1.706532,1.940181,2.03448,2.514358,2.739248
ZNF297B,6.876159,5.808999,6.459596,5.550208,6.015625,5.950376
RAB11B,5.378224,5.147815,5.369744,5.054151,5.86003,5.690149
TXNDC9,6.225669,6.20136,6.232433,6.086183,5.72809,5.583609
MYOZ1,4.977515,4.864988,4.786733,4.720661,2.119795,2.81788
SLC16A8,2.002324,1.945103,2.162854,2.474294,2.251439,1.924617
XKR6,2.517575,2.22588,3.326689,2.289855,2.301359,2.090113
ARHGAP28,3.440719,3.288263,4.982827,4.945594,2.080293,1.596969
TEX2,6.290207,6.33437,6.310976,6.325567,7.49888,7.52487
BCL2L12,6.489652,6.48722,6.772142,6.737417,4.870381,5.248918
STRAP,9.791993,10.191447,9.963274,10.004258,8.765377,8.801581
NKD2,6.270344,6.47439,7.029771,6.96733,1.475347,1.862248
TECTB,1.104062,1.609663,1.854449,2.328588,1.58381,2.107555
MYBPHL,2.236359,2.82339,2.172764,1.820447,3.687908,2.856434
AMPD3,1.839531,2.248776,1.512694,2.327019,1.362184,2.257597
ERN1,1.903246,1.765682,3.005086,1.179673,3.01156,1.452541
GZMH,3.3167,3.101673,2.618764,2.10187,4.042736,4.411802
CLSTN2,4.174107,4.139985,4.429466,4.144599,2.836237,2.97682
FGF7,1.79003,1.397648,1.7443,1.627743,1.677741,1.772647
DPEP3,5.301224,5.72809,1.89392,1.594632,1.864405,1.804361
CA5A,1.268407,1.124798,1.492073,1.794083,1.812316,1.955184
C8B,1.63254,1.528273,1.969772,2.107879,1.712334,2.780951
GPR179,1.464383,1.646924,2.171747,2.160593,1.888807,3.704564
PML,1.694632,1.466233,2.025895,1.615567,1.968504,2.154026
OR10H3,2.089933,2.107765,2.287434,1.6962,1.98855,2.613394
FLJ46210,2.548235,1.915219,1.453533,1.728786,1.428251,2.023661
LDLRAD1,1.576461,1.395693,2.067684,2.73522,2.047393,1.438272
HOXA13,1.589253,1.667456,2.098478,2.167414,1.83073,2.402096
CHPF,6.997563,7.122152,6.431198,6.170863,8.712757,8.632837
PSARL,9.203072,9.394105,9.023707,9.30406,8.781533,8.815772
ZNF532,7.774565,7.741114,7.811535,7.636117,7.639156,7.663754
CPE,7.071375,7.042376,6.708215,6.605177,7.686326,7.917976
STMN4,1.850772,1.854811,1.883039,2.304737,7.330273,7.30874
DC-UBP,6.673528,6.491841,6.643432,6.769449,5.565011,5.614871
SP110,5.784701,5.347966,5.613336,5.583969,6.735852,6.554403
ABP1,1.612257,1.331167,1.498498,1.770025,2.181964,1.902676
COL11A1,2.31035,2.237338,1.70715,1.353365,2.066247,1.732057
ARNTL,2.429504,2.748021,3.355967,3.551393,2.985177,3.344784
RGS3,1.73693,2.349645,2.066356,2.04385,1.714498,2.425206
RHOT1,3.946723,3.024419,4.11036,4.408475,2.513473,2.628915
GPR156,2.605063,2.666788,2.969401,2.559466,1.642446,2.47843
MARCO,2.211986,1.769906,1.782691,2.466513,2.411097,2.454925
PAX9,1.80122,1.681776,1.729023,1.692056,1.332011,2.25601
A2BP1,1.417193,1.849624,2.170747,1.809204,1.653779,1.252082
GJA3,1.397648,2.37196,1.850314,2.284617,1.675199,1.596877
LOC201164,1.613461,1.536213,2.728973,1.331167,4.98564,4.933485
GJB3,2.305645,1.522052,2.327019,2.13367,2.121802,2.014204
MS4A12,2.041142,2.066577,1.956082,1.932841,1.473425,1.970285
RPL26,11.230493,11.5743,11.306758,11.976249,10.912719,10.947153
GIF,2.233726,2.395666,1.940077,3.220446,2.085103,2.093131
ROBO3,4.932102,5.761644,5.869822,5.417125,6.849954,6.998321
RAB3D,3.48382,3.310801,1.827872,2.287434,1.80503,3.578165
AP3S2,5.867265,5.393396,6.074723,6.322936,6.33261,6.326476
DEFB118,1.586858,2.693852,1.987104,2.348812,1.824944,2.526413
CHMP6,5.52365,5.698649,5.47643,6.178145,6.622614,6.721397
ABLIM1,4.48306,3.097565,4.258886,2.959602,1.908491,1.747367
UCHL5,7.244806,7.431211,7.410158,7.301296,6.620292,6.521109
DAD1,9.938282,9.797967,9.300077,9.670824,10.950588,11.083989
RLN3R1,2.34447,2.730812,2.506371,2.196049,1.623467,1.569271
CASP3,4.382184,4.220605,3.435648,4.268228,3.095093,2.930631
MGC39900,8.355115,8.292374,8.358842,8.843597,10.172643,10.064077
SETDB2,5.294176,5.666275,5.931672,6.02138,4.349545,4.350811
FOXJ2,7.215294,7.004049,7.295359,7.422365,8.143026,8.054677
ZNF641,4.684382,2.860719,4.175976,2.106226,4.386935,4.505544
KLB,3.467736,2.993769,1.85021,2.578026,2.07841,3.5308
RAB15,6.500962,6.698293,6.226814,6.313486,5.660339,5.623993
CREB5,4.644814,4.620249,3.306281,3.161776,7.363441,7.498224
OR10G8,2.484038,2.400583,2.189477,1.435811,2.041984,1.473836
POLR3H,1.843349,1.962007,2.376543,1.708371,2.330368,2.266803
PDRG1,7.206634,7.028138,7.365059,7.712905,7.581765,7.476739
OCLN,3.515942,3.168459,4.105694,3.550018,2.392584,1.84663
RIN3,2.216915,1.780188,1.540198,2.491107,2.990359,3.656692
DCHS2,1.719687,0.973975,1.798298,1.768157,2.546099,2.353059
TNFRSF13C,4.614384,4.498875,5.181947,5.168805,3.43799,4.059175
NINJ2,2.635672,2.214772,2.936896,2.660916,4.225257,4.177377
NTRK1,2.403678,3.069086,2.988049,2.013619,1.870403,2.628684
ATP1A1,9.361355,9.523814,8.636616,8.796851,9.967973,9.900945
ORM2,3.391909,4.327198,4.020423,4.460652,1.834809,2.17863
NRG1,3.146327,2.12613,2.119289,2.187302,1.418804,1.048039
OXA1L,8.207653,8.213877,8.374574,8.506935,8.276712,8.173767
ITIH5,2.059546,2.25601,2.221077,1.594876,1.973512,1.832442
GDPD3,2.606636,1.793004,1.809592,1.700778,1.309145,1.211086
UBXD6,3.841528,4.449965,3.462788,3.470235,3.914293,3.423452
SCN4A,3.666633,4.312987,5.396224,5.397199,1.759127,2.798512
LY9,2.038302,1.724323,1.217229,1.004112,1.654355,1.92762
APOM,5.272733,5.049232,5.290367,5.410944,6.055914,6.13401
SYT10,1.447688,3.279368,1.342099,1.644674,1.520867,1.829782
WNT16,2.499219,2.784143,2.446451,1.691569,2.211548,2.459842
SCYL1,6.766554,6.929898,6.787387,6.901424,7.309848,7.264911
PRDM7,2.035071,2.280154,2.48309,1.448695,1.469095,1.974728
OR2A5,3.469235,3.001757,2.949219,3.767696,4.237513,4.313392
HPSE2,2.313404,1.925422,1.924318,1.941081,1.482445,1.872542
DDX3Y,2.693577,2.295508,2.437787,1.789544,2.014116,2.189339
GTF2A1,1.88658,1.572948,1.766475,1.695961,1.654706,2.412989
DPM2,6.720541,6.76045,6.73244,6.779218,7.282112,7.447655
SNRP70,10.222631,10.309978,10.432879,10.395247,9.89041,10.049159
ARHGAP1,8.778494,8.588248,8.825968,8.638129,8.845892,9.028765
CKMT1A,7.833574,7.704097,8.073542,8.274597,2.851744,3.636503
HIST2H2BE,3.529548,4.231465,4.53211,4.373209,6.712797,6.758543
SLC30A5,1.9238,1.987161,2.011958,2.614366,2.295508,2.115149
MGC3207,8.005745,8.108084,7.573469,7.298294,7.114858,7.187553
RBKS,4.510782,4.501102,4.865864,5.301224,4.123696,4.5302
ABCC11,3.012844,2.559201,2.553447,2.767118,3.573293,2.951035
PPP1R8,2.459152,2.446051,1.640068,2.076349,2.008865,2.175374
FLJ42957,3.471392,3.651715,3.842672,3.744316,1.725128,1.94874
AQP2,3.300759,2.991879,3.047955,2.057677,2.705035,1.968964
KIAA0101,7.016041,6.747465,5.838321,5.309922,5.747696,5.799864
COL6A1,8.182103,8.306219,8.068824,7.964097,7.317824,7.324919
BCAN,3.746323,3.562814,3.965029,4.095089,10.833884,10.723891
FMO2,2.267296,1.914801,1.530552,2.084713,2.670664,3.526265
LOC648367,2.451962,1.930512,1.433305,1.903214,2.024339,2.069996
AGPAT2,6.252429,6.018313,6.017419,5.86234,4.15694,3.807695
FBXO44,3.246636,3.797447,3.162173,2.594274,1.59452,2.33439
FLJ10922,5.81398,5.536284,5.803225,5.944644,4.420065,4.019073
SYCE1,2.079545,1.554874,1.147878,1.713174,1.358036,1.973512
NARS,10.013274,9.864541,9.961314,10.05294,8.990194,8.971485
OR10G9,1.585652,1.454976,1.84133,1.503448,2.066898,1.580441
BTBD9,2.777055,3.931094,3.106461,4.922832,4.270097,3.300423
ID3,9.278861,9.522093,8.047875,7.992879,5.480062,5.538419
POLR2C,6.280083,6.61804,6.181183,6.087268,6.45549,6.523079
TAS2R9,1.859892,1.876781,2.004493,2.193143,2.216311,1.81942
PTK2B,1.650554,3.27725,3.128305,2.424562,4.155697,4.181556
PADI1,1.844819,2.346154,2.085103,2.123144,2.040204,2.140725
LOC646200,11.916389,11.835205,11.922323,12.197029,11.377583,11.461218
RFC2,4.329811,4.456136,4.764869,4.959486,4.536819,4.818604
KIAA0999,7.367428,7.383439,7.088891,7.020545,8.042911,8.059762
EEFSEC,2.322838,3.478471,2.862285,3.114069,3.757195,3.554635
SCGB2A1,1.561991,1.772931,3.148714,1.865782,2.069548,1.851249
SLC16A9,9.500913,9.225385,9.251247,8.795803,5.877734,5.750827
CRHR1,4.45983,4.706673,4.682979,4.789409,4.734828,4.609751
MAPKAPK3,9.159052,9.191993,9.578991,9.718477,8.94298,8.810946
OR2AG1,1.452731,2.694463,2.501602,1.64929,2.504295,2.570543
HSPA4L,4.057677,4.378783,4.346464,5.204513,4.918896,4.808997
C4ORF13,4.078957,4.635496,4.474624,4.214947,5.650082,5.417942
OFCC1,2.290873,2.292101,2.196958,2.439912,1.966046,1.377466
GALK2,3.771343,2.947152,3.561783,3.952752,3.632683,3.464486
KNTC1,8.283632,8.267612,8.438152,8.232639,8.091952,8.021296
LBP,3.328408,3.187296,3.847013,4.271318,3.167074,3.732699
KLHL23,6.619921,6.261854,6.518655,6.221244,6.100278,6.304675
ZNF346,2.876178,2.894189,2.607175,2.582357,4.211225,4.790304
B4GALT6,4.795495,4.728406,5.626593,5.761644,3.285403,3.896957
MGC13379,7.869201,7.80057,7.67932,7.937461,7.291439,7.236866
FLJ45455,2.009533,1.968358,2.266603,2.380539,1.935797,2.364675
KIAA1539,5.367436,5.326088,4.537191,4.671219,6.819561,6.776973
SHB,6.10383,6.044619,5.809649,5.488913,5.805268,5.853205
CRISP1,1.818011,1.529903,2.091894,1.893313,1.683649,1.99322
ARHGAP6,2.065414,2.605945,2.269291,2.271635,1.643965,1.883039
DUT,7.673796,7.672737,7.715495,7.644191,7.151677,6.976651
HCFC1,9.912046,9.89041,10.004258,9.906219,9.576111,9.613718
LOC112703,7.855955,7.828952,8.087047,8.181535,4.985083,4.689786
LENG9,2.120068,1.687988,1.965559,2.027735,3.483178,1.519244
TRSPAP1,4.170593,4.076354,4.321535,3.948176,5.270538,4.556614
SAPS3,8.092507,8.166715,8.162118,7.988854,8.200818,8.113383
FLJ32771,1.799644,2.174043,3.674278,2.053998,2.719945,2.004493
CHCHD8,6.810759,6.68105,5.96798,6.167153,6.331495,6.417765
PSMD9,4.227319,4.426048,4.421164,4.632943,5.615843,5.484801
PPME1,7.226417,7.067082,7.37026,7.426711,7.339416,7.26139
NUP98,4.704941,4.572343,4.088817,4.351779,3.90403,3.981354
SCN2A2,2.112795,1.792139,2.879211,2.253488,4.028824,3.648875
CD34,3.366701,2.825142,2.841318,2.623226,1.559867,2.288321
GPRC6A,2.143997,1.932611,3.5422,2.513652,2.236782,2.771043
ALG9,7.327048,7.148479,7.171547,7.331898,7.332683,7.344149
SNX17,8.200818,8.349232,8.674989,8.684092,9.500913,9.468176
ILK,1.641602,1.474072,2.186927,1.294288,1.312123,1.561627
CHST7,7.6956,7.779608,7.885399,7.856441,10.491035,10.567818
FLJ26850,2.291716,3.264912,2.741337,2.775063,2.559979,2.72723
IPPK,4.057005,4.681687,3.637024,4.827027,3.039486,4.059798
