"Gene.Symbol","log2FC"
"TGFBR2",1.06611328467153
"ITGA8",-0.568382189781022
"ITGA9",-1.79752540145985
"STK40",0.78769897810219
"MYO3B",-0.471172846715328
"ATP2A1",0.534820875912409
"ATP2A2",-0.878259562043795
"ATP2A3",-0.331248467153284
"ITGA1",2.80466554744526
"ITGA2",0.868332700729927
"ITGA3",1.12345430656934
"ITGA4",3.28191299270073
"ITGA5",2.8175195620438
"ITGA6",0.575243795620437
"ITGA7",1.22941182481752
"TRHR",-0.324515912408759
"LOC100132288",0.204090218978102
"DENND4A",-0.615727153284672
"DENND4B",-0.902718394160585
"DENND4C",0.544406277372264
"SWAP70",0.424967591240877
"RARRES1",1.93333109489051
"LOC100132287",-0.337126131386861
"PHLDA3",0.00141167883211679
"PHLDA2",1.65985372262774
"TACO1",0.388863065693432
"PMM1",-0.372804379562044
"GAP43",-0.0230359124087585
"NENF",0.667823795620437
"SQLE",-0.408583941605839
"MRPL28",-0.410465547445256
"LOC100289341",-0.764757664233576
"FBXL13",0.770055328467153
"FBXL12",1.02460627737226
"FBXL15",-1.78949664233577
"CYP27B1",3.00460540145985
"FBXL17",-0.738525547445256
"FBXL16",-4.41436905109489
"FAM169A",-1.47786160583942
"FAM116B",-1.45991138686131
"FAM116A",0.920377810218978
"FAM169B",-0.0907969343065693
"RALGAPA2",-0.323043503649635
"GHDC",0.44708905109489
"H19",4.77056861313869
"SDK2",-2.03713912408759
"GRP",-1.79421927007299
"TPRN",-1.47390861313869
"THSD4",-1.31697343065693
"KIAA0895L",-0.987473430656935
"CHST9",2.20243459854015
"CHST8",-0.831125109489051
"COL4A5",-0.975023211678833
"COL4A4",0.357914744525548
"COL4A3",-0.424178102189781
"COL4A2",3.74394627737226
"COL4A1",4.93180744525547
"SLC35D2",1.54681562043796
"CHST1",-2.76455766423358
"ZNF879",0.57440306569343
"CHST3",0.637450948905109
"CHST2",0.419102335766423
"CHST5",-1.00781941605839
"CHST4",0.867301459854015
"CHST7",0.763117810218978
"CHST6",0.133634160583943
"ITGAX",0.54394496350365
"OR8J1",0
"SNORD115-17",0
"BCL2A1",2.25852437956204
"GPSM2",0.660672700729927
"HLCS",0.176947737226277
"NOG",-0.622827737226277
"LIPG",1.62591080291971
"ITGAV",0.951760729927008
"HIBCH",0.244463211678832
"ZNF703",0.57184204379562
"ITGAL",1.3221398540146
"ITGAM",0.765071094890511
"LOC286359",-0.445872116788321
"HLF",-3.6161404379562
"NOV",-1.56690613138686
"FAM134C",0.111042773722627
"FAM134B",-1.21583664233577
"FAM134A",-0.736147591240876
"SERPING1",2.07399299270073
"SMAD9",-0.101438248175183
"TRERF1",-0.0976947445255476
"LOC653501",-0.299768759124088
"LRPAP1",-0.719543211678833
"LQK1",1.44498686131387
"SMAD6",0.311287299270073
"SMAD7",-1.59476131386861
"GOLPH3L",0.581263357664234
"SMAD1",1.20446423357664
"AFTPH",-0.688646131386863
"SMAD3",-0.472327737226278
"MUS81",0.469718394160584
"AMMECR1L",0.668796934306569
"IL1RAPL1",-3.36107649635036
"TMPRSS11B",0.029856204379562
"IGF2R",0.0665845255474462
"TMPRSS11D",0.209402189781022
"TMPRSS11F",0.161202481751825
"ZC3H10",0.990543065693431
"RAD21L1",0.0974
"IL1RAPL2",-3.25105138686131
"SLC36A3",-0.398376934306569
"CKS1B",2.0762198540146
"SLC36A1",-0.591926423357664
"ST13",-0.0337280291970803
"RPL31P11",0.229685109489051
"C14orf115",-0.277539562043796
"ZC3H15",-0.305037810218979
"TMEM213",0.081709197080292
"C14orf118",0.457661459854014
"ARTN",0.303632700729927
"ART1",-0.955654744525548
"HRH3",-5.85460262773723
"ART3",-1.21915445255474
"HERC2P2",-0.446143211678832
"ART5",-0.104207737226277
"ART4",0.251869343065693
"RNF111",-0.383386569343065
"TCEA2",-0.510862335766424
"TCEA3",1.29936861313869
"TCEA1",1.00945620437956
"MGC57346",0.105416788321167
"COX4I2",1.28731094890511
"COX4I1",-0.18756102189781
"BFAR",0.885225401459854
